[08:57:08] Episode 1 | Step 2 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 1 | Step 4 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 1 | Step 13 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 1 | Step 14 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 1 | Step 18 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 1 | Step 19 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 1 | Step 20 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 1 | Step 21 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 1 | Step 22 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 1 | Step 23 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 1 | Step 24 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 1 | Step 25 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 1 | Step 26 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 1 | Step 27 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 1 | Step 27 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 1 | Step 29 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 1 | Step 31 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 1 | Step 35 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 1 | Step 37 | Defender gained 15.0 reward | Detection: 0.55
[08:57:08] Episode 1 | Step 38 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 1 | Step 42 | Defender gained 15.0 reward | Detection: 0.55
[08:57:08] Episode 1 | Step 46 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 1 | Step 48 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 1 | Step 48 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 2 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 2 | Step 3 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 2 | Step 7 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 2 | Step 15 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 2 | Step 21 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 3 | Step 3 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 3 | Step 5 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 3 | Step 6 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 3 | Step 6 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 3 | Step 8 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 3 | Step 12 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 3 | Step 17 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 3 | Step 17 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 18 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 20 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 21 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 23 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 24 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 26 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 3 | Step 26 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 27 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 28 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 3 | Step 28 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 29 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 31 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 32 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 3 | Step 32 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 3 | Step 33 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 4 | Step 3 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 4 | Step 7 | Attacker gained 20.0 reward | Position: N3
